Date, Hveg, thres_veg_1, thres_veg_2, LSAI, canopy fraction, decay coeff, snow burial coeff, root depth, min stomatal res
20/11/2009 00:00, 46.20,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
21/11/2009 00:00, 46.13,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
22/11/2009 00:00, 46.27,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
23/11/2009 00:00, 45.65,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
24/11/2009 00:00, 45.71,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
25/11/2009 00:00, 45.62,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
26/11/2009 00:00, 46.10,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
27/11/2009 00:00, 45.24,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
28/11/2009 00:00, 45.30,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
29/11/2009 00:00, 45.19,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
30/11/2009 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
01/12/2009 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
02/12/2009 00:00, 44.91,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
03/12/2009 00:00, 44.95,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
04/12/2009 00:00, 44.95,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
05/12/2009 00:00, 44.95,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
06/12/2009 00:00, 44.91,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
07/12/2009 00:00, 44.95,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
08/12/2009 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
09/12/2009 00:00, 44.91,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
10/12/2009 00:00, 45.11,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
11/12/2009 00:00, 45.34,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
12/12/2009 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
13/12/2009 00:00, 44.94,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
14/12/2009 00:00, 45.01,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
15/12/2009 00:00, 45.01,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
16/12/2009 00:00, 45.02,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
17/12/2009 00:00, 45.03,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
18/12/2009 00:00, 45.05,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
19/12/2009 00:00, 45.06,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
20/12/2009 00:00, 45.07,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
21/12/2009 00:00, 45.06,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
22/12/2009 00:00, 45.06,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
23/12/2009 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
24/12/2009 00:00, 44.92,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
25/12/2009 00:00, 44.91,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
26/12/2009 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
27/12/2009 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
28/12/2009 00:00, 44.95,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
29/12/2009 00:00, 44.97,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
30/12/2009 00:00, 44.95,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
31/12/2009 00:00, 44.95,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
01/01/2010 00:00, 44.91,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
02/01/2010 00:00, 44.92,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
03/01/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
04/01/2010 00:00, 45.04,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
05/01/2010 00:00, 45.06,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
06/01/2010 00:00, 45.03,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
07/01/2010 00:00, 44.97,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
08/01/2010 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
09/01/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
10/01/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
11/01/2010 00:00, 44.95,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
12/01/2010 00:00, 44.98,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
13/01/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
14/01/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
15/01/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
16/01/2010 00:00, 44.96,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
17/01/2010 00:00, 44.96,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
18/01/2010 00:00, 44.96,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
19/01/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
20/01/2010 00:00, 44.94,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
21/01/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
22/01/2010 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
23/01/2010 00:00, 44.94,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
24/01/2010 00:00, 44.92,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
25/01/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
26/01/2010 00:00, 45.01,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
27/01/2010 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
28/01/2010 00:00, 44.97,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
29/01/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
30/01/2010 00:00, 45.01,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
31/01/2010 00:00, 45.02,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
01/02/2010 00:00, 45.05,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
02/02/2010 00:00, 45.04,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
03/02/2010 00:00, 45.02,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
04/02/2010 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
05/02/2010 00:00, 44.97,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
06/02/2010 00:00, 44.98,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
07/02/2010 00:00, 44.91,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
08/02/2010 00:00, 44.91,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
09/02/2010 00:00, 44.98,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
10/02/2010 00:00, 45.01,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
11/02/2010 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
12/02/2010 00:00, 45.02,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
13/02/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
14/02/2010 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
15/02/2010 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
16/02/2010 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
17/02/2010 00:00, 45.00,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
18/02/2010 00:00, 44.94,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
19/02/2010 00:00, 45.24,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
20/02/2010 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
21/02/2010 00:00, 44.95,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
22/02/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
23/02/2010 00:00, 44.97,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
24/02/2010 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
25/02/2010 00:00, 45.59,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
26/02/2010 00:00, 45.56,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
27/02/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
28/02/2010 00:00, 44.91,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
01/03/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
02/03/2010 00:00, 45.55,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
03/03/2010 00:00, 45.74,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
04/03/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
05/03/2010 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
06/03/2010 00:00, 45.02,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
07/03/2010 00:00, 45.03,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
08/03/2010 00:00, 45.03,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
09/03/2010 00:00, 45.03,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
10/03/2010 00:00, 45.05,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
11/03/2010 00:00, 44.99,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
12/03/2010 00:00, 44.98,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
13/03/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
14/03/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
15/03/2010 00:00, 45.24,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
16/03/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
17/03/2010 00:00, 44.93,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
18/03/2010 00:00, 45.67,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
19/03/2010 00:00, 46.29,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
20/03/2010 00:00, 46.20,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
21/03/2010 00:00, 45.85,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
22/03/2010 00:00, 46.12,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
23/03/2010 00:00, 47.72,  0.00,  0.00,  0.48,  0.21,  2.50,  1.00,300.00, 30.00
24/03/2010 00:00, 47.35,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
25/03/2010 00:00, 48.39,  0.00,  0.00,  0.48,  0.21,  2.50,  1.00,300.00, 30.00
26/03/2010 00:00, 46.96,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
27/03/2010 00:00, 45.77,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
28/03/2010 00:00, 47.92,  0.00,  0.00,  0.48,  0.21,  2.50,  1.00,300.00, 30.00
29/03/2010 00:00, 48.50,  0.00,  0.00,  0.49,  0.22,  2.50,  1.00,300.00, 30.00
30/03/2010 00:00, 49.99,  0.00,  0.00,  0.50,  0.22,  2.50,  1.00,300.00, 30.00
31/03/2010 00:00, 51.64,  0.00,  0.00,  0.52,  0.23,  2.50,  1.00,300.00, 30.00
01/04/2010 00:00, 54.34,  0.00,  0.00,  0.54,  0.24,  2.50,  1.00,300.00, 30.00
02/04/2010 00:00, 53.68,  0.00,  0.00,  0.54,  0.24,  2.50,  1.00,300.00, 30.00
03/04/2010 00:00, 53.00,  0.00,  0.00,  0.53,  0.23,  2.50,  1.00,300.00, 30.00
04/04/2010 00:00, 53.32,  0.00,  0.00,  0.53,  0.23,  2.50,  1.00,300.00, 30.00
05/04/2010 00:00, 53.35,  0.00,  0.00,  0.53,  0.23,  2.50,  1.00,300.00, 30.00
06/04/2010 00:00, 55.95,  0.00,  0.00,  0.56,  0.24,  2.50,  1.00,300.00, 30.00
07/04/2010 00:00, 58.44,  0.00,  0.00,  0.58,  0.25,  2.50,  1.00,300.00, 30.00
08/04/2010 00:00, 61.85,  0.00,  0.00,  0.62,  0.27,  2.50,  1.00,300.00, 30.00
09/04/2010 00:00, 65.92,  0.00,  0.00,  0.66,  0.28,  2.50,  1.00,300.00, 30.00
10/04/2010 00:00, 70.63,  0.00,  0.00,  0.71,  0.30,  2.50,  1.00,300.00, 30.00
11/04/2010 00:00, 74.78,  0.00,  0.00,  0.75,  0.31,  2.50,  1.00,300.00, 30.00
12/04/2010 00:00, 77.43,  0.00,  0.00,  0.77,  0.32,  2.50,  1.00,300.00, 30.00
13/04/2010 00:00, 76.75,  0.00,  0.00,  0.77,  0.32,  2.50,  1.00,300.00, 30.00
14/04/2010 00:00, 77.04,  0.00,  0.00,  0.77,  0.32,  2.50,  1.00,300.00, 30.00
15/04/2010 00:00, 79.47,  0.00,  0.00,  0.79,  0.33,  2.50,  1.00,300.00, 30.00
16/04/2010 00:00, 86.22,  0.00,  0.00,  0.86,  0.35,  2.50,  1.00,300.00, 30.00
17/04/2010 00:00, 89.58,  0.00,  0.00,  0.90,  0.36,  2.50,  1.00,300.00, 30.00
18/04/2010 00:00, 93.06,  0.00,  0.00,  0.93,  0.37,  2.50,  1.00,300.00, 30.00
19/04/2010 00:00, 94.03,  0.00,  0.00,  0.94,  0.38,  2.50,  1.00,300.00, 30.00
20/04/2010 00:00, 99.24,  0.00,  0.00,  0.99,  0.39,  2.50,  1.00,300.00, 30.00
21/04/2010 00:00,105.01,  0.00,  0.00,  1.05,  0.41,  2.50,  1.00,300.00, 30.00
22/04/2010 00:00,110.53,  0.00,  0.00,  1.11,  0.42,  2.50,  1.00,300.00, 30.00
23/04/2010 00:00,118.06,  0.00,  0.00,  1.18,  0.45,  2.50,  1.00,300.00, 30.00
24/04/2010 00:00,123.20,  0.00,  0.00,  1.23,  0.46,  2.50,  1.00,300.00, 30.00
25/04/2010 00:00,130.63,  0.00,  0.00,  1.31,  0.48,  2.50,  1.00,300.00, 30.00
26/04/2010 00:00,139.48,  0.00,  0.00,  1.39,  0.50,  2.50,  1.00,300.00, 30.00
27/04/2010 00:00,147.93,  0.00,  0.00,  1.48,  0.52,  2.50,  1.00,300.00, 30.00
28/04/2010 00:00,152.69,  0.00,  0.00,  1.53,  0.53,  2.50,  1.00,300.00, 30.00
29/04/2010 00:00,160.52,  0.00,  0.00,  1.61,  0.55,  2.50,  1.00,300.00, 30.00
30/04/2010 00:00,167.39,  0.00,  0.00,  1.67,  0.57,  2.50,  1.00,300.00, 30.00
01/05/2010 00:00,172.82,  0.00,  0.00,  1.73,  0.58,  2.50,  1.00,300.00, 30.00
02/05/2010 00:00,175.64,  0.00,  0.00,  1.76,  0.58,  2.50,  1.00,300.00, 30.00
03/05/2010 00:00,175.72,  0.00,  0.00,  1.76,  0.58,  2.50,  1.00,300.00, 30.00
04/05/2010 00:00,181.85,  0.00,  0.00,  1.82,  0.60,  2.50,  1.00,300.00, 30.00
05/05/2010 00:00,180.88,  0.00,  0.00,  1.81,  0.60,  2.50,  1.00,300.00, 30.00
06/05/2010 00:00,179.29,  0.00,  0.00,  1.79,  0.59,  2.50,  1.00,300.00, 30.00
07/05/2010 00:00,182.88,  0.00,  0.00,  1.83,  0.60,  2.50,  1.00,300.00, 30.00
08/05/2010 00:00,188.23,  0.00,  0.00,  1.88,  0.61,  2.50,  1.00,300.00, 30.00
09/05/2010 00:00,198.23,  0.00,  0.00,  1.98,  0.63,  2.50,  1.00,300.00, 30.00
10/05/2010 00:00,208.74,  0.00,  0.00,  2.09,  0.65,  2.50,  1.00,300.00, 30.00
11/05/2010 00:00,213.70,  0.00,  0.00,  2.14,  0.66,  2.50,  1.00,300.00, 30.00
12/05/2010 00:00,216.54,  0.00,  0.00,  2.17,  0.66,  2.50,  1.00,300.00, 30.00
13/05/2010 00:00,219.15,  0.00,  0.00,  2.19,  0.67,  2.50,  1.00,300.00, 30.00
14/05/2010 00:00,227.03,  0.00,  0.00,  2.27,  0.68,  2.50,  1.00,300.00, 30.00
15/05/2010 00:00,234.31,  0.00,  0.00,  2.34,  0.69,  2.50,  1.00,300.00, 30.00
16/05/2010 00:00,239.31,  0.00,  0.00,  2.39,  0.70,  2.50,  1.00,300.00, 30.00
17/05/2010 00:00,240.01,  0.00,  0.00,  2.40,  0.70,  2.50,  1.00,300.00, 30.00
18/05/2010 00:00,245.51,  0.00,  0.00,  2.46,  0.71,  2.50,  1.00,300.00, 30.00
19/05/2010 00:00,251.61,  0.00,  0.00,  2.52,  0.72,  2.50,  1.00,300.00, 30.00
20/05/2010 00:00,256.83,  0.00,  0.00,  2.57,  0.72,  2.50,  1.00,300.00, 30.00
21/05/2010 00:00,264.63,  0.00,  0.00,  2.65,  0.73,  2.50,  1.00,300.00, 30.00
22/05/2010 00:00,275.04,  0.00,  0.00,  2.75,  0.75,  2.50,  1.00,300.00, 30.00
23/05/2010 00:00,287.60,  0.00,  0.00,  2.88,  0.76,  2.50,  1.00,300.00, 30.00
24/05/2010 00:00,299.96,  0.00,  0.00,  3.00,  0.78,  2.50,  1.00,300.00, 30.00
25/05/2010 00:00,313.94,  0.00,  0.00,  3.14,  0.79,  2.50,  1.00,300.00, 30.00
26/05/2010 00:00,327.84,  0.00,  0.00,  3.28,  0.81,  2.50,  1.00,300.00, 30.00
27/05/2010 00:00,340.36,  0.00,  0.00,  3.40,  0.82,  2.50,  1.00,300.00, 30.00
28/05/2010 00:00,345.86,  0.00,  0.00,  3.46,  0.82,  2.50,  1.00,300.00, 30.00
29/05/2010 00:00,355.83,  0.00,  0.00,  3.56,  0.83,  2.50,  1.00,300.00, 30.00
30/05/2010 00:00,366.73,  0.00,  0.00,  3.67,  0.84,  2.50,  1.00,300.00, 30.00
31/05/2010 00:00,376.19,  0.00,  0.00,  3.76,  0.85,  2.50,  1.00,300.00, 30.00
01/06/2010 00:00,383.14,  0.00,  0.00,  3.83,  0.85,  2.50,  1.00,300.00, 30.00
02/06/2010 00:00,392.83,  0.00,  0.00,  3.93,  0.86,  2.50,  1.00,300.00, 30.00
03/06/2010 00:00,398.84,  0.00,  0.00,  3.99,  0.86,  2.50,  1.00,300.00, 30.00
04/06/2010 00:00,410.97,  0.00,  0.00,  4.11,  0.87,  2.50,  1.00,300.00, 30.00
05/06/2010 00:00,424.58,  0.00,  0.00,  4.25,  0.88,  2.50,  1.00,300.00, 30.00
06/06/2010 00:00,438.91,  0.00,  0.00,  4.39,  0.89,  2.50,  1.00,300.00, 30.00
07/06/2010 00:00,453.12,  0.00,  0.00,  4.53,  0.90,  2.50,  1.00,300.00, 30.00
08/06/2010 00:00,466.54,  0.00,  0.00,  4.67,  0.90,  2.50,  1.00,300.00, 30.00
09/06/2010 00:00,476.01,  0.00,  0.00,  4.76,  0.91,  2.50,  1.00,300.00, 30.00
10/06/2010 00:00,486.24,  0.00,  0.00,  4.86,  0.91,  2.50,  1.00,300.00, 30.00
11/06/2010 00:00,493.44,  0.00,  0.00,  4.93,  0.92,  2.50,  1.00,300.00, 30.00
12/06/2010 00:00,506.36,  0.00,  0.00,  5.06,  0.92,  2.50,  1.00,300.00, 30.00
13/06/2010 00:00,517.41,  0.00,  0.00,  5.17,  0.92,  2.50,  1.00,300.00, 30.00
