Date,JDfrom0,Iprec
15/03/2011 00:00,734577,0
16/03/2011 00:00,734578,0.17
17/03/2011 00:00,734579,1.24
18/03/2011 00:00,734580,0.21
19/03/2011 00:00,734581,0
20/03/2011 00:00,734582,0
21/03/2011 00:00,734583,0
22/03/2011 00:00,734584,0
23/03/2011 00:00,734585,0
24/03/2011 00:00,734586,0
25/03/2011 00:00,734587,0
26/03/2011 00:00,734588,0
27/03/2011 00:00,734589,0
28/03/2011 00:00,734590,0
29/03/2011 00:00,734591,0
30/03/2011 00:00,734592,0
31/03/2011 00:00,734593,0
01/04/2011 00:00,734594,0
02/04/2011 00:00,734595,0
03/04/2011 00:00,734596,0
04/04/2011 00:00,734597,0
05/04/2011 00:00,734598,0.01
06/04/2011 00:00,734599,0
07/04/2011 00:00,734600,0
08/04/2011 00:00,734601,0
09/04/2011 00:00,734602,0
10/04/2011 00:00,734603,0
11/04/2011 00:00,734604,0
12/04/2011 00:00,734605,0
13/04/2011 00:00,734606,0.01
14/04/2011 00:00,734607,0
15/04/2011 00:00,734608,0
16/04/2011 00:00,734609,0
17/04/2011 00:00,734610,0
18/04/2011 00:00,734611,0
19/04/2011 00:00,734612,0
20/04/2011 00:00,734613,0
21/04/2011 00:00,734614,0
22/04/2011 00:00,734615,0
23/04/2011 00:00,734616,0
24/04/2011 00:00,734617,0
25/04/2011 00:00,734618,0.11
26/04/2011 00:00,734619,0
27/04/2011 00:00,734620,0
28/04/2011 00:00,734621,0
29/04/2011 00:00,734622,0
30/04/2011 00:00,734623,0.01
01/05/2011 00:00,734624,0
02/05/2011 00:00,734625,0.01
03/05/2011 00:00,734626,0
04/05/2011 00:00,734627,0
05/05/2011 00:00,734628,0
06/05/2011 00:00,734629,0
07/05/2011 00:00,734630,0
08/05/2011 00:00,734631,0
09/05/2011 00:00,734632,0
10/05/2011 00:00,734633,0
11/05/2011 00:00,734634,0
12/05/2011 00:00,734635,0
13/05/2011 00:00,734636,0.05
14/05/2011 00:00,734637,0.05
15/05/2011 00:00,734638,0.22
16/05/2011 00:00,734639,0
17/05/2011 00:00,734640,0
18/05/2011 00:00,734641,0.02
19/05/2011 00:00,734642,0
20/05/2011 00:00,734643,0
21/05/2011 00:00,734644,0
22/05/2011 00:00,734645,0
23/05/2011 00:00,734646,0
24/05/2011 00:00,734647,0
25/05/2011 00:00,734648,0
26/05/2011 00:00,734649,0.02
27/05/2011 00:00,734650,0.6
28/05/2011 00:00,734651,0.72
29/05/2011 00:00,734652,0
30/05/2011 00:00,734653,0
31/05/2011 00:00,734654,0
01/06/2011 00:00,734655,0
02/06/2011 00:00,734656,0.01
03/06/2011 00:00,734657,0.01
04/06/2011 00:00,734658,0.04
05/06/2011 00:00,734659,0.23
06/06/2011 00:00,734660,0.05
07/06/2011 00:00,734661,0.13
08/06/2011 00:00,734662,0.3
09/06/2011 00:00,734663,0.36
10/06/2011 00:00,734664,0.07
11/06/2011 00:00,734665,0.44
12/06/2011 00:00,734666,0.21
13/06/2011 00:00,734667,0.06
14/06/2011 00:00,734668,0.04
15/06/2011 00:00,734669,0
16/06/2011 00:00,734670,0.08
17/06/2011 00:00,734671,0.23
18/06/2011 00:00,734672,0.04
19/06/2011 00:00,734673,0.42
20/06/2011 00:00,734674,0
21/06/2011 00:00,734675,0
22/06/2011 00:00,734676,0.44
23/06/2011 00:00,734677,0.27
24/06/2011 00:00,734678,0.18
25/06/2011 00:00,734679,0
26/06/2011 00:00,734680,0
27/06/2011 00:00,734681,0
28/06/2011 00:00,734682,0
29/06/2011 00:00,734683,0
30/06/2011 00:00,734684,0.09
01/07/2011 00:00,734685,0
02/07/2011 00:00,734686,0
03/07/2011 00:00,734687,0
04/07/2011 00:00,734688,0
05/07/2011 00:00,734689,0.21
06/07/2011 00:00,734690,0
07/07/2011 00:00,734691,0.22
08/07/2011 00:00,734692,0.27
09/07/2011 00:00,734693,0
10/07/2011 00:00,734694,0
11/07/2011 00:00,734695,0.33
12/07/2011 00:00,734696,0
13/07/2011 00:00,734697,0
14/07/2011 00:00,734698,0.3
15/07/2011 00:00,734699,0.31
16/07/2011 00:00,734700,0
17/07/2011 00:00,734701,0
18/07/2011 00:00,734702,0.22
19/07/2011 00:00,734703,0.02
20/07/2011 00:00,734704,0.09
21/07/2011 00:00,734705,0
22/07/2011 00:00,734706,0
23/07/2011 00:00,734707,0.13
24/07/2011 00:00,734708,0.04
25/07/2011 00:00,734709,0
26/07/2011 00:00,734710,0
27/07/2011 00:00,734711,0
28/07/2011 00:00,734712,0.21
29/07/2011 00:00,734713,0.12
30/07/2011 00:00,734714,0
31/07/2011 00:00,734715,0
01/08/2011 00:00,734716,0.01
02/08/2011 00:00,734717,0.07
03/08/2011 00:00,734718,0
04/08/2011 00:00,734719,0.22
05/08/2011 00:00,734720,0
06/08/2011 00:00,734721,0.79
07/08/2011 00:00,734722,0.04
08/08/2011 00:00,734723,0.05
09/08/2011 00:00,734724,0.03
10/08/2011 00:00,734725,0
11/08/2011 00:00,734726,0
12/08/2011 00:00,734727,0
13/08/2011 00:00,734728,0
14/08/2011 00:00,734729,0
15/08/2011 00:00,734730,0.64
16/08/2011 00:00,734731,0
17/08/2011 00:00,734732,0
18/08/2011 00:00,734733,0.42
19/08/2011 00:00,734734,0
20/08/2011 00:00,734735,0
21/08/2011 00:00,734736,0
22/08/2011 00:00,734737,0
23/08/2011 00:00,734738,0
24/08/2011 00:00,734739,0
25/08/2011 00:00,734740,0
26/08/2011 00:00,734741,0
27/08/2011 00:00,734742,0.16
28/08/2011 00:00,734743,0.09
29/08/2011 00:00,734744,0
30/08/2011 00:00,734745,0
31/08/2011 00:00,734746,0
01/09/2011 00:00,734747,0
02/09/2011 00:00,734748,0
03/09/2011 00:00,734749,0.01
04/09/2011 00:00,734750,0.05
05/09/2011 00:00,734751,0.76
06/09/2011 00:00,734752,0.04
07/09/2011 00:00,734753,0
08/09/2011 00:00,734754,0
09/09/2011 00:00,734755,0
10/09/2011 00:00,734756,0
11/09/2011 00:00,734757,0
12/09/2011 00:00,734758,0.18
13/09/2011 00:00,734759,0
14/09/2011 00:00,734760,0
15/09/2011 00:00,734761,0
16/09/2011 00:00,734762,0
17/09/2011 00:00,734763,0.14
18/09/2011 00:00,734764,0.65
19/09/2011 00:00,734765,2.22
20/09/2011 00:00,734766,0
21/09/2011 00:00,734767,0
22/09/2011 00:00,734768,0
23/09/2011 00:00,734769,0
24/09/2011 00:00,734770,0
25/09/2011 00:00,734771,0
26/09/2011 00:00,734772,0
27/09/2011 00:00,734773,0
28/09/2011 00:00,734774,0
29/09/2011 00:00,734775,0
30/09/2011 00:00,734776,0
01/10/2011 00:00,734777,0
02/10/2011 00:00,734778,0
03/10/2011 00:00,734779,0
04/10/2011 00:00,734780,0
05/10/2011 00:00,734781,0
06/10/2011 00:00,734782,0
07/10/2011 00:00,734783,0.5
08/10/2011 00:00,734784,0
09/10/2011 00:00,734785,0.08
10/10/2011 00:00,734786,0.15
11/10/2011 00:00,734787,0.01
12/10/2011 00:00,734788,0
13/10/2011 00:00,734789,0
14/10/2011 00:00,734790,0
15/10/2011 00:00,734791,0
16/10/2011 00:00,734792,0
17/10/2011 00:00,734793,0
18/10/2011 00:00,734794,0
19/10/2011 00:00,734795,0
20/10/2011 00:00,734796,0.09
21/10/2011 00:00,734797,0
22/10/2011 00:00,734798,0
23/10/2011 00:00,734799,0
24/10/2011 00:00,734800,0
25/10/2011 00:00,734801,0
26/10/2011 00:00,734802,0.4
27/10/2011 00:00,734803,0
28/10/2011 00:00,734804,0
29/10/2011 00:00,734805,0
30/10/2011 00:00,734806,0
31/10/2011 00:00,734807,0
01/11/2011 00:00,734808,0
02/11/2011 00:00,734809,0
03/11/2011 00:00,734810,0
04/11/2011 00:00,734811,0
05/11/2011 00:00,734812,0.25
06/11/2011 00:00,734813,0.11
07/11/2011 00:00,734814,0.08
08/11/2011 00:00,734815,0.14
09/11/2011 00:00,734816,0
10/11/2011 00:00,734817,0
11/11/2011 00:00,734818,0
12/11/2011 00:00,734819,0
13/11/2011 00:00,734820,0
14/11/2011 00:00,734821,0
15/11/2011 00:00,734822,0
16/11/2011 00:00,734823,0
17/11/2011 00:00,734824,0
18/11/2011 00:00,734825,0
19/11/2011 00:00,734826,0
20/11/2011 00:00,734827,0
21/11/2011 00:00,734828,0
22/11/2011 00:00,734829,0
23/11/2011 00:00,734830,0
24/11/2011 00:00,734831,0
25/11/2011 00:00,734832,0
26/11/2011 00:00,734833,0
27/11/2011 00:00,734834,0
28/11/2011 00:00,734835,0
29/11/2011 00:00,734836,0
30/11/2011 00:00,734837,0
01/12/2011 00:00,734838,0
02/12/2011 00:00,734839,0
03/12/2011 00:00,734840,0
04/12/2011 00:00,734841,0
05/12/2011 00:00,734842,0.03
06/12/2011 00:00,734843,0
07/12/2011 00:00,734844,0
08/12/2011 00:00,734845,0.29
09/12/2011 00:00,734846,0
10/12/2011 00:00,734847,0
11/12/2011 00:00,734848,0
12/12/2011 00:00,734849,0
13/12/2011 00:00,734850,0.07
14/12/2011 00:00,734851,0.04
15/12/2011 00:00,734852,0
16/12/2011 00:00,734853,0
17/12/2011 00:00,734854,0.13
18/12/2011 00:00,734855,0
19/12/2011 00:00,734856,0
20/12/2011 00:00,734857,0
21/12/2011 00:00,734858,0
22/12/2011 00:00,734859,0
23/12/2011 00:00,734860,0
24/12/2011 00:00,734861,0
25/12/2011 00:00,734862,0
26/12/2011 00:00,734863,0
27/12/2011 00:00,734864,0
28/12/2011 00:00,734865,0
29/12/2011 00:00,734866,0
30/12/2011 00:00,734867,0.09
31/12/2011 00:00,734868,0.2
01/01/2012 00:00,734869,0.12
02/01/2012 00:00,734870,0
03/01/2012 00:00,734871,0.24
04/01/2012 00:00,734872,0
05/01/2012 00:00,734873,0
06/01/2012 00:00,734874,0.33
07/01/2012 00:00,734875,0
08/01/2012 00:00,734876,0.02
09/01/2012 00:00,734877,0
10/01/2012 00:00,734878,0
11/01/2012 00:00,734879,0
12/01/2012 00:00,734880,0
13/01/2012 00:00,734881,0
14/01/2012 00:00,734882,0
15/01/2012 00:00,734883,0
16/01/2012 00:00,734884,0
17/01/2012 00:00,734885,0
18/01/2012 00:00,734886,0
19/01/2012 00:00,734887,0
20/01/2012 00:00,734888,0
21/01/2012 00:00,734889,0
22/01/2012 00:00,734890,0.41
23/01/2012 00:00,734891,0
24/01/2012 00:00,734892,0.01
25/01/2012 00:00,734893,0
26/01/2012 00:00,734894,0
27/01/2012 00:00,734895,0
28/01/2012 00:00,734896,0
29/01/2012 00:00,734897,0
30/01/2012 00:00,734898,0
31/01/2012 00:00,734899,0
01/02/2012 00:00,734900,0
02/02/2012 00:00,734901,0.19
03/02/2012 00:00,734902,0
04/02/2012 00:00,734903,0
05/02/2012 00:00,734904,0
06/02/2012 00:00,734905,0
07/02/2012 00:00,734906,0
08/02/2012 00:00,734907,0
09/02/2012 00:00,734908,0
10/02/2012 00:00,734909,0
11/02/2012 00:00,734910,0
12/02/2012 00:00,734911,0
13/02/2012 00:00,734912,0
14/02/2012 00:00,734913,0
15/02/2012 00:00,734914,0
16/02/2012 00:00,734915,0
17/02/2012 00:00,734916,0
18/02/2012 00:00,734917,0
19/02/2012 00:00,734918,0.01
20/02/2012 00:00,734919,0
21/02/2012 00:00,734920,0
22/02/2012 00:00,734921,0
23/02/2012 00:00,734922,0
24/02/2012 00:00,734923,0
25/02/2012 00:00,734924,0
26/02/2012 00:00,734925,0
27/02/2012 00:00,734926,0
28/02/2012 00:00,734927,0
29/02/2012 00:00,734928,0
01/03/2012 00:00,734929,0
02/03/2012 00:00,734930,0
03/03/2012 00:00,734931,0
04/03/2012 00:00,734932,0.06
05/03/2012 00:00,734933,0.19
06/03/2012 00:00,734934,0
07/03/2012 00:00,734935,0
08/03/2012 00:00,734936,0
09/03/2012 00:00,734937,0
10/03/2012 00:00,734938,0
11/03/2012 00:00,734939,0
12/03/2012 00:00,734940,0
13/03/2012 00:00,734941,0
14/03/2012 00:00,734942,0
15/03/2012 00:00,734943,0
16/03/2012 00:00,734944,0
17/03/2012 00:00,734945,0
18/03/2012 00:00,734946,0
19/03/2012 00:00,734947,0.22
20/03/2012 00:00,734948,0.03
21/03/2012 00:00,734949,0
22/03/2012 00:00,734950,0
23/03/2012 00:00,734951,0
24/03/2012 00:00,734952,0
25/03/2012 00:00,734953,0
26/03/2012 00:00,734954,0
27/03/2012 00:00,734955,0
28/03/2012 00:00,734956,0
29/03/2012 00:00,734957,0
30/03/2012 00:00,734958,0
31/03/2012 00:00,734959,0
01/04/2012 00:00,734960,0
02/04/2012 00:00,734961,0
03/04/2012 00:00,734962,0
04/04/2012 00:00,734963,0
05/04/2012 00:00,734964,0.6
06/04/2012 00:00,734965,0.27
07/04/2012 00:00,734966,0
08/04/2012 00:00,734967,0.03
09/04/2012 00:00,734968,0
10/04/2012 00:00,734969,0
11/04/2012 00:00,734970,0
12/04/2012 00:00,734971,0.35
13/04/2012 00:00,734972,0
14/04/2012 00:00,734973,0.11
15/04/2012 00:00,734974,0.1
16/04/2012 00:00,734975,0.25
17/04/2012 00:00,734976,0
18/04/2012 00:00,734977,0
19/04/2012 00:00,734978,0.03
20/04/2012 00:00,734979,0
21/04/2012 00:00,734980,0.18
22/04/2012 00:00,734981,0.23
23/04/2012 00:00,734982,0
24/04/2012 00:00,734983,0.11
25/04/2012 00:00,734984,0.2
26/04/2012 00:00,734985,0
27/04/2012 00:00,734986,0
28/04/2012 00:00,734987,0
29/04/2012 00:00,734988,0
30/04/2012 00:00,734989,0
01/05/2012 00:00,734990,0.21
02/05/2012 00:00,734991,0.11
03/05/2012 00:00,734992,0
04/05/2012 00:00,734993,0.01
05/05/2012 00:00,734994,0.21
06/05/2012 00:00,734995,0
07/05/2012 00:00,734996,0.02
08/05/2012 00:00,734997,0
09/05/2012 00:00,734998,0
10/05/2012 00:00,734999,0
11/05/2012 00:00,735000,0
12/05/2012 00:00,735001,0
13/05/2012 00:00,735002,0.02
14/05/2012 00:00,735003,0
15/05/2012 00:00,735004,0
16/05/2012 00:00,735005,0.04
17/05/2012 00:00,735006,0
18/05/2012 00:00,735007,0
19/05/2012 00:00,735008,0
20/05/2012 00:00,735009,0
21/05/2012 00:00,735010,0.24
22/05/2012 00:00,735011,0.36
23/05/2012 00:00,735012,0.01
24/05/2012 00:00,735013,0
25/05/2012 00:00,735014,0
26/05/2012 00:00,735015,0
27/05/2012 00:00,735016,0
28/05/2012 00:00,735017,0.1
29/05/2012 00:00,735018,0
30/05/2012 00:00,735019,0
31/05/2012 00:00,735020,0
01/06/2012 00:00,735021,0
02/06/2012 00:00,735022,0
03/06/2012 00:00,735023,0
04/06/2012 00:00,735024,0.69
05/06/2012 00:00,735025,0
06/06/2012 00:00,735026,0
07/06/2012 00:00,735027,0
08/06/2012 00:00,735028,0
09/06/2012 00:00,735029,0.1
10/06/2012 00:00,735030,0.4
11/06/2012 00:00,735031,0.31
12/06/2012 00:00,735032,0.47
13/06/2012 00:00,735033,0.09
14/06/2012 00:00,735034,0
15/06/2012 00:00,735035,0
16/06/2012 00:00,735036,0
17/06/2012 00:00,735037,0
18/06/2012 00:00,735038,0
19/06/2012 00:00,735039,0
20/06/2012 00:00,735040,0
21/06/2012 00:00,735041,0.04
22/06/2012 00:00,735042,0.22
23/06/2012 00:00,735043,0.03
24/06/2012 00:00,735044,0
25/06/2012 00:00,735045,0.01
26/06/2012 00:00,735046,0
27/06/2012 00:00,735047,0
28/06/2012 00:00,735048,0
29/06/2012 00:00,735049,0
30/06/2012 00:00,735050,0
01/07/2012 00:00,735051,0
02/07/2012 00:00,735052,0
03/07/2012 00:00,735053,0
04/07/2012 00:00,735054,0
05/07/2012 00:00,735055,0
06/07/2012 00:00,735056,0
07/07/2012 00:00,735057,0
08/07/2012 00:00,735058,0
09/07/2012 00:00,735059,0
10/07/2012 00:00,735060,0
11/07/2012 00:00,735061,0
12/07/2012 00:00,735062,0
13/07/2012 00:00,735063,0
14/07/2012 00:00,735064,0
15/07/2012 00:00,735065,0
16/07/2012 00:00,735066,0
17/07/2012 00:00,735067,0
18/07/2012 00:00,735068,0
19/07/2012 00:00,735069,0
20/07/2012 00:00,735070,0
21/07/2012 00:00,735071,0
22/07/2012 00:00,735072,0
23/07/2012 00:00,735073,0
24/07/2012 00:00,735074,0
25/07/2012 00:00,735075,0
26/07/2012 00:00,735076,0
27/07/2012 00:00,735077,0
28/07/2012 00:00,735078,0
29/07/2012 00:00,735079,0
30/07/2012 00:00,735080,0
31/07/2012 00:00,735081,0
01/08/2012 00:00,735082,0
02/08/2012 00:00,735083,0
03/08/2012 00:00,735084,0
04/08/2012 00:00,735085,0
05/08/2012 00:00,735086,0
06/08/2012 00:00,735087,0
07/08/2012 00:00,735088,0
08/08/2012 00:00,735089,0
09/08/2012 00:00,735090,0
10/08/2012 00:00,735091,0
11/08/2012 00:00,735092,0
12/08/2012 00:00,735093,0
13/08/2012 00:00,735094,0
14/08/2012 00:00,735095,0
15/08/2012 00:00,735096,0
16/08/2012 00:00,735097,0
17/08/2012 00:00,735098,0
18/08/2012 00:00,735099,0
19/08/2012 00:00,735100,0
20/08/2012 00:00,735101,0
21/08/2012 00:00,735102,0
22/08/2012 00:00,735103,0
23/08/2012 00:00,735104,0
24/08/2012 00:00,735105,0
25/08/2012 00:00,735106,0
26/08/2012 00:00,735107,0
27/08/2012 00:00,735108,0
28/08/2012 00:00,735109,0
29/08/2012 00:00,735110,0
30/08/2012 00:00,735111,0
31/08/2012 00:00,735112,0
01/09/2012 00:00,735113,0
02/09/2012 00:00,735114,0
03/09/2012 00:00,735115,0
04/09/2012 00:00,735116,0
05/09/2012 00:00,735117,0
06/09/2012 00:00,735118,0
07/09/2012 00:00,735119,0
08/09/2012 00:00,735120,0
09/09/2012 00:00,735121,0
10/09/2012 00:00,735122,0
11/09/2012 00:00,735123,0
12/09/2012 00:00,735124,0
13/09/2012 00:00,735125,0
14/09/2012 00:00,735126,0
15/09/2012 00:00,735127,0
16/09/2012 00:00,735128,0
17/09/2012 00:00,735129,0
18/09/2012 00:00,735130,0
19/09/2012 00:00,735131,0
20/09/2012 00:00,735132,0
21/09/2012 00:00,735133,0
22/09/2012 00:00,735134,0
23/09/2012 00:00,735135,0
24/09/2012 00:00,735136,0
25/09/2012 00:00,735137,0
26/09/2012 00:00,735138,0
27/09/2012 00:00,735139,0
28/09/2012 00:00,735140,0
29/09/2012 00:00,735141,0
30/09/2012 00:00,735142,0
01/10/2012 00:00,735143,0
02/10/2012 00:00,735144,0
03/10/2012 00:00,735145,0
04/10/2012 00:00,735146,0
05/10/2012 00:00,735147,0
06/10/2012 00:00,735148,0
07/10/2012 00:00,735149,0
08/10/2012 00:00,735150,0
09/10/2012 00:00,735151,0
10/10/2012 00:00,735152,0
11/10/2012 00:00,735153,0
12/10/2012 00:00,735154,0
13/10/2012 00:00,735155,0
14/10/2012 00:00,735156,0
15/10/2012 00:00,735157,0
